,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,Show_title
133,carter,tt21237030,movie,"Thrown straight into a dangerous mission with none of his memories intact, a man must escape death while trying to figure out who he is, how he ended up here, and who is the mysterious voice in his ear calling him ""Carter""?",2022,TV-MA,132 min,"Action, Thriller",South Korea,tt21237030,5.1,"7,853",carter
134,darlings,tt14152140,movie,It follows the lives of two women as they find courage and love in exceptional circumstances.,2022,TV-14,133 min,"Comedy, Drama, Thriller",India,tt14152140,6.6,"16,771",darlings
135,glow up: britain's next make-up star,tt9680524,series,A talented group of aspiring make-up artists attempt to prove their potential to industry professionals in this competition hosted first by Stacey Dooley then by Maya Jama.,2019–,TV-14,32S min,"Game-Show, Reality-TV",United Kingdom,tt9680524,6.9,"2,368",glow up: britain's next make-up star
136,the girl in the mirror,tt13106334,series,"After losing her memory in a bizarre accident that kills most of her classmates, Alma tries to unravel what happened that day and regain her identity.",2022–,TV-MA,N/A,"Drama, Horror, Mystery",Spain,tt13106334,6.2,"1,660",the girl in the mirror
137,a model family,tt21289712,series,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier.",2022–,TV-MA,N/A,"Crime, Drama, Thriller",South Korea,tt21289712,6.6,916,a model family
138,the angry birds movie 2,tt6095472,movie,The flightless birds and scheming green pigs take their feud to the next level.,2019,PG,97 min,"Animation, Action, Adventure","Finland, United States",tt6095472,6.4,"29,913",the angry birds movie 2
139,uncharted,tt1464335,movie,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",2022,PG-13,116 min,"Action, Adventure","Spain, United States",tt1464335,6.3,"192,391",uncharted
140,inside the mind of a cat,tt21340412,movie,Cat experts dive into the mind of the feline to reveal the true capabilities of the pouncing pet in this captivating and cuddly documentary.,2022,TV-PG,67 min,Documentary,United States,tt21340412,6.9,"4,091",inside the mind of a cat
141,bank robbers: the last great heist,tt21281774,movie,"Through revealing interviews, the perpetrators of Argentina's most famous bank robbery detail how, and why, they carried out the spectacular 2006 operation.",2022,TV-14,109 min,"Documentary, Crime",Argentina,tt21281774,7.1,949,bank robbers: the last great heist
142,nikamma,tt10687220,movie,A lazy slacker struggles to get along with his diligent sister-in-law - until they must step up and fight together against a common enemy.,2022,PG-13,152 min,"Action, Comedy, Drama",India,tt10687220,2.6,"1,559",nikamma
143,wedding season,tt11426572,movie,"Pressured by their parents to find spouses, Asha and Ravi pretend to date during a summer of weddings, only to find themselves falling for each other.",2022,TV-PG,98 min,"Comedy, Romance",United States,tt11426572,6.3,"7,609",wedding season
144,1917,tt8579674,movie,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",2019,R,119 min,"Action, Drama, War","United Kingdom, United States, India, Spain",tt8579674,8.2,"579,698",1917
145,flight,tt1907668,movie,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",2012,R,138 min,"Drama, Thriller","United States, United Arab Emirates",tt1907668,7.3,"355,059",flight
146,the informer,tt1833116,movie,An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.,2019,R,113 min,"Action, Crime, Drama","United Kingdom, Canada, United States",tt1833116,6.6,"37,436",the informer
147,recurrence,tt3754658,movie,"When a neglectful man, Liam, can't stop reliving the death of his girlfriend in his dreams, he must come to terms with his demons in order to discover the true power behind his dreams.",2014,Not Rated,19 min,"Short, Drama",United States,tt3754658,8.9,14,recurrence
148,heartsong,tt21339860,movie,"While serenading a wedding that quickly implodes, o nomadic musician falls for the bride, who runs afoul of her family. Now he has to save her life.",2022,TV-14,95 min,"Comedy, Drama, Music",Turkey,tt21339860,5.8,"1,401",heartsong
149,i just killed my dad,tt21315194,series,"Anthony Templet shot his father and never denied it. But why he did it is a complex question with profound implications. Explore Anthony's psyche prior to the events of June 3, 2019 and the journey of his mental and emotional afte...",2022,TV-MA,N/A,"Documentary, Crime",United States,tt21315194,6.8,"4,623",i just killed my dad
150,keep breathing,tt14117010,series,"When a small plane crashes in the middle of the Canadian wilderness, a lone woman must battle the elements and odds to survive.",2022,TV-MA,1 min,"Adventure, Drama, Thriller",United States,tt14117010,5.2,"10,848",keep breathing
151,café con aroma de mujer,tt0216459,series,Love story between Gaviota and Sebastian. Gaviota is a poor harvester and Sebastian comes from a rich Colombian family.,1993–,N/A,60 min,"Drama, Romance",Colombia,tt0216459,8.4,621,café con aroma de mujer
152,spider-man: far from home,tt6320628,movie,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",2019,PG-13,129 min,"Action, Adventure, Sci-Fi",United States,tt6320628,7.4,"486,617",spider-man: far from home
153,the age of adaline,tt1655441,movie,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",2015,PG-13,112 min,"Drama, Fantasy, Romance","United States, Canada",tt1655441,7.2,"181,761",the age of adaline
154,tower heist,tt0471042,movie,"When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence.",2011,PG-13,104 min,"Action, Comedy, Crime","United States, Japan",tt0471042,6.2,"145,007",tower heist
155,men in black 3,tt1409024,movie,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,2012,PG-13,106 min,"Action, Adventure, Comedy","United States, United Arab Emirates",tt1409024,6.8,"363,484",men in black 3
156,the entitled,tt1650535,movie,"A young man, broke and jobless, abducts three rich college kids to try and get money from their fathers.",2011,R,91 min,"Crime, Thriller",Canada,tt1650535,6.1,"6,675",the entitled
157,buba,tt21195548,movie,"When a small-town con artist joins the local mafia with his manipulative brother, his obsession with balancing his karma gets hilariously brutal.",2022,TV-MA,94 min,"Comedy, Drama",Germany,tt21195548,5.8,"1,929",buba
158,uncoupled,tt15466144,series,"Michael's life seemed to be perfect, until his long time partner blindsided him after 17 years of being in long time relationship. He has to confront the nightmares of losing his soulmate and suddenly finding himself as a single g...",2022–,TV-MA,N/A,"Comedy, Drama, Romance",United States,tt15466144,7.0,"14,594",uncoupled
159,trainwreck: woodstock '99,tt21217912,series,"Woodstock 1969 promised peace and music, but its '99 revival delivered days of rage, riots and real harm. Why did it go so horribly wrong?",2022,TV-MA,1 min,"Documentary, History, Music",United States,tt21217912,7.4,"15,086",trainwreck: woodstock '99
160,persuasion,tt13456318,movie,"Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?",2022,PG,108 min,"Drama, Romance",United States,tt13456318,5.7,"26,579",persuasion
161,line of duty,tt2303687,series,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",2012–2021,TV-14,60 min,"Crime, Drama, Mystery",United Kingdom,tt2303687,8.7,"59,078",line of duty
162,a cut above,tt21265550,movie,"With his mom's salon on the brink of bankruptcy, a dedicated son rolls up his sleeves to help and discovers himself as the coolest barber on the block.",2022,N/A,90 min,Comedy,Brazil,tt21265550,N/A,169,a cut above
163,live is life,tt12923028,movie,Five friends spend one last summer together as they begin transitioning to adulthood.,2021,TV-MA,109 min,"Comedy, Drama",Spain,tt12923028,6.3,934,live is life
164,the most hated man on the internet,tt21098728,series,"Follows the story of a woman who stood up to Hunter Moore, a self-proclaimed ""professional life ruiner,"" after photos of her daughter being naked were posted online.",2022,TV-MA,2 min,"Documentary, Crime",United Kingdom,tt21098728,6.8,"5,900",the most hated man on the internet
165,oh my venus,tt5189944,series,A lawyer in her thirties coming out of a long relationship decides to regain her figure and health after meeting a renowned personal trainer who obsesses with leading a healthy lifestyle after suffering a serious injury in his chi...,2015–2016,N/A,60 min,"Comedy, Drama, Romance",South Korea,tt5189944,7.8,"5,106",oh my venus
166,clean,tt10023022,movie,"Tormented by his past, a garbage man named Clean attempts a quiet life of redemption. But, soon finds himself forced to reconcile with the violence of his past.",2021,Not Rated,94 min,"Action, Crime, Drama",United States,tt10023022,5.6,"7,877",clean
167,daughter of the wolf,tt7615052,movie,A military veteran hunts the men who kidnapped her son.,2019,R,88 min,"Action, Thriller",Canada,tt7615052,4.6,"7,637",daughter of the wolf
168,chips,tt0493405,movie,An inexperienced rookie is teamed up with a hardened pro at the California Highway Patrol in Los Angeles; the newbie officer soon learns his partner is really an undercover Fed investigating a heist which may involve some crooked ...,2017,R,100 min,"Action, Comedy, Crime",United States,tt0493405,6.0,"48,314",chips
169,my daughter's killer,tt21049266,movie,A father fights for decades to bring his daughter's killer to justice in France and Germany before taking extreme measures,2022,TV-MA,83 min,"Documentary, Crime",France,tt21049266,6.9,"1,397",my daughter's killer
170,spider-man: no way home,tt10872600,movie,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",2021,PG-13,148 min,"Action, Adventure, Fantasy",United States,tt10872600,8.3,"739,216",spider-man: no way home
171,mirreyes vs godinez home office,tt13616362,movie,"The employees of Kuri González Shoe Stores loved the idea of Home-Office--in March. After months of confinement, Mirreyes and Godínez are constantly trying to maintain their sanity.",2020,N/A,56 min,Comedy,Mexico,tt13616362,5.6,147,mirreyes vs godinez home office
172,american assassin,tt1961175,movie,"After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley.",2017,R,111 min,"Action, Thriller",United States,tt1961175,6.2,"83,070",american assassin
173,grand isle,tt8380776,movie,A young father is charged with murder and must prove his innocence by recalling a very twisted and dark night of events.,2019,N/A,97 min,Thriller,United States,tt8380776,4.7,"5,365",grand isle
174,money heist: korea - joint economic area,tt13696452,series,A genius strategist and people with different personalities and abilities fighting an extraordinary variable and engaging in an unprecedented hostage play.,2022–,TV-MA,N/A,"Action, Crime, Drama",South Korea,tt13696452,5.3,"5,949",money heist: korea - joint economic area
175,"yo soy betty, la fea",tt0233127,series,"An outcast in a prominent fashion company, a sweet-hearted and unattractive assistant falls hopelessly in love with her boss.",1999–2001,TV-PG,30 min,"Comedy, Drama, Romance",Colombia,tt0233127,8.2,"3,286","yo soy betty, la fea"
176,ghost doctor,tt16493854,series,"Cha Young Min is a genius doctor but arrogant and selfish. One day, he gets involved in an unexpected case; his spirit possesses another doctor's body. These two doctors are complete opposites, with personalities and medical abili...",2022–,N/A,N/A,"Comedy, Fantasy, Romance",South Korea,tt16493854,7.9,"1,437",ghost doctor
177,malverde: el santo patrón,tt11874906,series,"From Netflix: Jesús Juárez overcomes his childhood as an orphan to become a Robin Hood like hero During the Mexican Revolution, but can't forget his first love - Isabel.",2021–,TV-MA,N/A,Drama,Mexico,tt11874906,N/A,76,malverde: el santo patrón
178,homefront,tt2312718,movie,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.",2013,R,100 min,"Action, Crime, Thriller",United States,tt2312718,6.5,"121,207",homefront
179,man vs. bee,tt13640670,series,"A man finds himself at war with a bee while housesitting a luxurious mansion. Who will win, and what irreparable damage will be done in the process?",2022–,TV-PG,N/A,"Short, Comedy, Family",United Kingdom,tt13640670,6.7,"27,302",man vs. bee
180,halftime,tt19637852,movie,Global superstar Jennifer Lopez reflects on her multifaceted career and the pressure of life in the spotlight in this intimate documentary.,2022,TV-MA,95 min,"Documentary, Biography, Music",United States,tt19637852,6.5,"4,711",halftime
181,centauro,tt6067908,movie,"A man falls from a horse and can no longer be saved. Man and horse become one, for a short moment.",2017,N/A,14 min,"Animation, Short",Argentina,tt6067908,8.1,11,centauro
182,loca por el trabajo,tt7126758,movie,"Alicia, a successful executive, addicted to work, puts the needs of her company before her family. A bad day, because of an absurd confusion, loses everything it has. In the middle of this situation, she befriends her crazy neighb...",2018,TV-MA,94 min,Comedy,Mexico,tt7126758,4.3,356,loca por el trabajo
183,in our prime,tt12663772,movie,"Follows Ji-woo, an outcast in a prestigious private high school who meets Hak-sung, the school's security guard, and asks him to teach him math and become friends, but their friendship is at risk after an incident in school.",2022,N/A,117 min,Drama,South Korea,tt12663772,6.7,515,in our prime
184,she,tt11905720,series,An undercover assignment to expose a drug ring becomes a timid Mumbai constable's road to empowerment as she realizes her dormant sexuality's potential.,2020–,TV-MA,1 min,"Crime, Drama",India,tt11905720,6.4,"5,516",she
185,spriggan,tt0164917,movie,An elite superhuman agent must stop a foreign military unit from seizing control of an ancient artifact that holds the key to ultimate power.,1998,R,90 min,"Animation, Action, Adventure",Japan,tt0164917,6.5,"3,940",spriggan
186,sonic the hedgehog,tt3794354,movie,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",2020,PG,99 min,"Action, Adventure, Comedy","United States, Japan, Canada",tt3794354,6.5,"139,101",sonic the hedgehog
187,belzebuth,tt3662308,movie,"After a personal tragedy, a police detective investigates a school massacre committed by a student - and another massacre. Are the 3 tragedies linked to demon possession?",2017,Not Rated,114 min,Horror,Mexico,tt3662308,6.0,"3,382",belzebuth
188,deep impact,tt0120647,movie,"A comet is discovered to be on a collision course with Earth. As doomsday nears, the human race prepares for the worst.",1998,PG-13,120 min,"Action, Drama, Sci-Fi",United States,tt0120647,6.2,"179,165",deep impact
189,el paseo 6,tt16636178,movie,"The last year High School excursion is the walk where anything can happen, but the last year High School excursion with the parents, that is the last straw. And since Álvaro Castaño knows that security is better than the police, h...",2021,N/A,97 min,Comedy,Colombia,tt16636178,N/A,192,el paseo 6
190,memoirs of a geisha,tt0397535,movie,Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.,2005,PG-13,145 min,"Drama, Romance","France, Japan, United States",tt0397535,7.3,"150,061",memoirs of a geisha
191,jack reacher,tt0790724,movie,A homicide investigator digs deeper into a case involving a trained military sniper responsible for a mass shooting.,2012,PG-13,130 min,"Action, Mystery, Thriller",United States,tt0790724,7.0,"342,015",jack reacher
192,jackass forever 2022 & jackass 4.5 (2022),tt20455056,movie,N/A,2022,N/A,N/A,Comedy,N/A,tt20455056,N/A,N/A,jackass forever 2022 & jackass 4.5 (2022)
193,luccas neto em o plano dos vilões,tt19768812,movie,N/A,2022,N/A,100 min,Comedy,Brazil,tt19768812,N/A,11,luccas neto em o plano dos vilões
194,4 kings,tt5033342,movie,"Christmas is approaching, and with it, the desire for harmony, beauty, light, and hope. Unable to cope with her parents' conflict, 16-year-old Alex makes a radical decision; the next day she finds herself in the adolescent psychia...",2015,N/A,98 min,Drama,Germany,tt5033342,6.7,"1,097",4 kings
195,shaman king,tt0367409,series,"SHAMAN KING follows the adventures of a 13-year-old shaman and his teammate a samurai warrior spirit, who traverse the world fighting evil spirits and misguided shamans on their journey to be the next Shaman King.",2001–2005,TV-Y7,23 min,"Animation, Action, Adventure",Japan,tt0367409,8.0,"6,027",shaman king
196,dangerous,tt3876910,movie,"A reformed sociopath journeys to a remote island to investigate the mystery behind his brother's demise, but soon ends up facing off with more than he bargained for.",2021,R,99 min,"Action, Thriller",United States,tt3876910,5.1,"6,314",dangerous
197,top gun,tt0092099,movie,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",1986,PG,110 min,"Action, Drama",United States,tt0092099,6.9,"433,694",top gun
198,cleveland abduction,tt4262142,movie,"A single mother, who becomes the first victim of kidnapper Ariel Castro, finds herself trapped in his home for 11 years, where she eventually becomes a friend and sister to two other women who are taken captive by Castro.",2015,TV-14,88 min,"Biography, Crime, Drama",United States,tt4262142,6.6,"7,542",cleveland abduction
199,turbo,tt1860353,movie,A freak accident might just help an everyday garden snail achieve his biggest dream: winning the Indy 500.,2013,PG,96 min,"Animation, Adventure, Comedy",United States,tt1860353,6.4,"98,052",turbo
200,larva pendant,tt19851736,movie,Bug friends Red and Yellow leave the island behind and go to the big city.,2022,TV-Y7,33 min,"Animation, Short, Family",South Korea,tt19851736,N/A,70,larva pendant
201,men in black: international,tt2283336,movie,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.",2019,PG-13,114 min,"Action, Adventure, Comedy","China, United States",tt2283336,5.6,"134,754",men in black: international
202,pedro el escamoso,tt0283770,series,"A colombian macho guy with fellings, a heart-breaker, an unintentional womanizer and a avid dancer.",2001–,N/A,60 min,Drama,Colombia,tt0283770,7.4,347,pedro el escamoso
203,the in between,tt8851148,movie,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",2022,PG-13,115 min,"Drama, Romance, Sci-Fi",United States,tt8851148,5.9,"7,807",the in between
204,shrek,tt0126029,movie,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",2001,PG,90 min,"Animation, Adventure, Comedy",United States,tt0126029,7.9,"673,516",shrek
205,a hard day,tt3697626,movie,"After trying to cover up a car accident that left a man dead, a crooked homicide detective is stalked by a mysterious man claiming to have witnessed the event.",2014,Not Rated,111 min,"Action, Crime, Thriller",South Korea,tt3697626,7.2,"14,543",a hard day
206,yakuza princess,tt10715446,movie,The heiress to half of the Yakuza crime syndicate forges an uneasy alliance with an amnesiac stranger who believes an ancient sword binds their two fates. She must unleash war against the other half of the syndicate who wants her ...,2021,R,111 min,Thriller,Brazil,tt10715446,4.7,"1,708",yakuza princess
207,one piece film z,tt2375379,movie,A former Marine stands in the way of the Straw Hat Pirates.,2012,TV-14,108 min,"Animation, Action, Adventure",Japan,tt2375379,7.8,"7,660",one piece film z
208,happiness,tt0147612,movie,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",1998,NC-17,134 min,"Comedy, Drama",United States,tt0147612,7.7,"70,660",happiness
209,a score to settle,tt3758162,movie,An ex-enforcer for a local crime syndicate has vowed to enact retribution on his mob bosses after 19 years of wrongful imprisonment. The only thing diverting his violent plans is a new found relationship to his beloved son.,2019,Not Rated,103 min,"Action, Crime, Drama","Canada, United States",tt3758162,4.7,"6,134",a score to settle
210,a dog's way home,tt7616798,movie,A female dog travels four hundred miles in search of her owner throughout a Colorado wilderness.,2019,PG,96 min,"Adventure, Drama, Family","China, United States",tt7616798,6.7,"18,290",a dog's way home
211,smother-in-law,tt15353358,series,"Living with her family since the pandemic struck, the meddling Isadir does her best to disrupt the lives of her bumbling son and rival daughter-in-law.",2022–,TV-MA,N/A,Comedy,Brazil,tt15353358,4.5,143,smother-in-law
212,shrek forever after,tt0892791,movie,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,2010,PG,95 min,"Animation, Adventure, Comedy",United States,tt0892791,6.3,"204,913",shrek forever after
213,four brothers,tt0430105,movie,"When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems.",2005,R,109 min,"Action, Crime, Drama",United States,tt0430105,6.8,"147,493",four brothers
214,enough,tt0278435,movie,"After running away fails, a terrified woman empowers herself in order to battle her abusive husband.",2002,PG-13,115 min,"Crime, Drama, Thriller",United States,tt0278435,5.7,"44,129",enough
215,enforcement,tt11081050,movie,"Jens and Mike, two police officers on routine patrol, find themselves trapped in a maze of buildings when unrest spreads.",2020,Not Rated,108 min,"Action, Crime, Drama",Denmark,tt11081050,6.5,"5,941",enforcement
216,ya veremos,tt7948540,movie,"Separated couple Rodrigo and Alejandra are required to see each other occasionally because they have joint custody of their son Santi. When they discover that Santi needs eyesight-saving surgery, Santi makes a pre-operation wishli...",2018,PG-13,85 min,Drama,Mexico,tt7948540,5.8,727,ya veremos
217,cocomelon,tt12427840,series,"In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",2018–2022,TV-PG,N/A,"Animation, Family",United States,tt12427840,4.7,653,cocomelon
218,gemini man,tt1025100,movie,An over-the-hill hitman faces off against a younger clone of himself.,2019,PG-13,117 min,"Action, Adventure, Sci-Fi","China, United States",tt1025100,5.7,"113,927",gemini man
219,escape room,tt5886046,movie,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,2019,PG-13,99 min,"Action, Adventure, Horror","United States, South Africa",tt5886046,6.4,"122,765",escape room
220,'83,tt7518786,movie,"On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.",2021,N/A,162 min,"Biography, Drama, History",India,tt7518786,7.5,"37,540",'83
221,top boy,tt1830379,series,Two London drug dealers ply their lucrative trade at a public housing estate in East London.,2011–,TV-MA,1 min,"Crime, Drama, Thriller",United Kingdom,tt1830379,8.4,"25,798",top boy
222,pieces of her,tt9170236,series,"On her 30th birthday out for lunch with her mother suddenly explodes into violence, an adrift young woman's conception of her mother is forever changed.",2022–,TV-MA,1 min,"Crime, Drama, Mystery",United States,tt9170236,6.3,"25,949",pieces of her
223,taboo,tt3647998,series,"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost--even murder.",2017–,TV-MA,59 min,"Drama, Mystery, Thriller",United Kingdom,tt3647998,8.3,"138,234",taboo
224,john wick: chapter 2,tt4425200,movie,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",2017,R,122 min,"Action, Crime, Thriller","United States, Italy, Hong Kong, Canada",tt4425200,7.4,"428,960",john wick: chapter 2
225,the dead don't die,tt8695030,movie,The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.,2019,R,104 min,"Comedy, Fantasy, Horror",United States,tt8695030,5.4,"78,901",the dead don't die
226,the bombardment of port arthur,tt1991205,movie,N/A,1904,N/A,N/A,"Documentary, Short, War",United Kingdom,tt1991205,N/A,N/A,the bombardment of port arthur
227,shrek 2,tt0298148,movie,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",2004,PG,93 min,"Animation, Adventure, Comedy",United States,tt0298148,7.3,"461,891",shrek 2
228,tyler perry's a madea homecoming,tt14813966,movie,Madea's back hallelujer. And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,2022,TV-MA,105 min,"Comedy, Drama, Romance",United States,tt14813966,5.6,"3,903",tyler perry's a madea homecoming
229,chernobyl 1986,tt11390602,movie,Fiction based on the actual events. Really good detail post explosion. There are straight documentaries available but this seems to cover what happened.,2018,N/A,N/A,"Short, Drama",United States,tt11390602,N/A,98,chernobyl 1986
230,one piece film: strong world,tt7947592,movie,The Gold Lion Shiki Offered an alliance to Gol D Roger which the latter refused. The result is a huge battle. Lives of different characters are shown through out the time of Gol D Roger's demise.,2010,N/A,20 min,"Animation, Short, Action, Adventure, Fantasy",Japan,tt7947592,8.0,207,one piece film: strong world
231,the great robbery of brazil's central bank,tt18274172,series,"In 2005, thieves tunnel into a Fortaleza, Brazil, bank vault and steal over 160 million reais. This docuseries explores that spectacular, historical heist.",2022–,TV-MA,N/A,"Documentary, Crime",Brazil,tt18274172,6.4,574,the great robbery of brazil's central bank
232,lies and deceit,tt12700540,movie,A women finds out about her friends deepest desire.,2019,N/A,N/A,"Short, Drama",N/A,tt12700540,N/A,N/A,lies and deceit
233,against the ice,tt13873302,movie,"In 1909, two explorers fight to survive after they're left behind while on a Denmark expedition in ice-covered Greenland.",2022,TV-MA,102 min,"Adventure, Drama, History","Iceland, Denmark",tt13873302,6.5,"22,409",against the ice
234,spider-man: into the spider-verse,tt4633694,movie,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",2018,PG,117 min,"Animation, Action, Adventure",United States,tt4633694,8.4,"521,336",spider-man: into the spider-verse
235,coach carter,tt0393162,movie,Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,2005,PG-13,136 min,"Biography, Drama, Sport","United States, Germany",tt0393162,7.3,"149,400",coach carter
236,battleship,tt1440129,movie,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,2012,PG-13,131 min,"Action, Adventure, Sci-Fi","United States, Japan",tt1440129,5.8,"248,631",battleship
237,one of us is lying,tt8354062,series,"A brain, an athlete, a princess, a criminal and a ""basket case"" walk into detention--but only the first four make it out alive.",2021–,TV-MA,1 min,"Crime, Drama, Mystery",United States,tt8354062,6.8,"9,458",one of us is lying
238,jeen-yuhs: a kanye trilogy,tt14599438,series,"Follows the life of Kanye West, in an intimate portrait as he builds his way from singer to businessman and becomes a global brand.",2022,TV-MA,270 min,"Documentary, Music",United States,tt14599438,8.0,"9,120",jeen-yuhs: a kanye trilogy
239,the fame game,tt9447956,series,"When India's most famous actress goes missing, the search for her chips away at the flawless facade of her life and family, revealing painful truths.",2022–,TV-MA,50S min,"Drama, Mystery, Thriller",India,tt9447956,6.8,"21,684",the fame game
240,abominable,tt6324278,movie,Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.,2019,PG,97 min,"Animation, Adventure, Comedy","United States, China, Japan",tt6324278,7.0,"38,753",abominable
241,despicable me,tt1323594,movie,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",2010,PG,95 min,"Animation, Adventure, Comedy","United States, France",tt1323594,7.6,"546,417",despicable me
242,parallel mothers,tt12618926,movie,The story of two mothers who bond in unexpected way after giving birth the same day.,2021,R,123 min,Drama,"Spain, France",tt12618926,7.1,"29,164",parallel mothers
243,compadres,tt3367294,movie,"As former cop Garza seeks revenge on Santos, the crime lord who framed him, he forms an unlikely team with a young hacker who successfully stole $10 million from Santos.",2016,R,101 min,"Action, Comedy, Crime",Mexico,tt3367294,4.8,"1,077",compadres
244,lost paradise,tt0120120,movie,"Rinko, the wife of an easily irritable, reputable doctor and Sholchiro, a veteran newspaper reporter have made choices in the course of their lives so that their future seems to have been fully established. Both are stuck in a lit...",1997,N/A,119 min,"Drama, Romance",Japan,tt0120120,6.6,637,lost paradise
245,the vanishing,tt0096163,movie,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",1988,Not Rated,107 min,"Mystery, Thriller","Netherlands, France, West Germany",tt0096163,7.7,"39,283",the vanishing
246,parallel roads,tt5223624,movie,"Gaby, Fer's mother, and Silvia, Diego's mother, live their lives happily, until one day, due to Diego's kidney disease they find out that the kids were switched at birth.",2016,N/A,91 min,Drama,Mexico,tt5223624,6.6,374,parallel roads
247,thoroughbred,tt0028364,movie,A plot is planned to kill favored Stormalong before the Melbourne Cup.,1936,N/A,78 min,"Crime, Drama, Sport",Australia,tt0028364,6.3,24,thoroughbred
248,dora and the lost city of gold,tt7547410,movie,"Dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.",2019,PG,102 min,"Action, Adventure, Comedy","United States, Australia",tt7547410,6.1,"31,166",dora and the lost city of gold
249,faster,tt1433108,movie,An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.,2010,R,98 min,"Action, Crime, Drama",United States,tt1433108,6.4,"107,852",faster
250,in from the cold,tt11859542,series,"Exposed as an ex-Russian spy, an American single mom must juggle family life and unique shape-shifting skills in a battle against an insidious enemy.",2022–,TV-MA,N/A,"Action, Crime, Drama",United States,tt11859542,6.2,"7,684",in from the cold
